,Location,Date,Time,People
859,c,010919,112316,1
860,c,010919,112318,1
861,c,010919,112321,2
862,c,010919,112324,2
863,c,010919,112326,4
864,c,010919,112329,3
865,c,010919,112332,4
866,c,010919,112336,3
867,c,010919,112339,3
868,c,010919,112342,2
869,c,010919,112345,2
870,c,010919,112348,2
871,c,010919,112352,2
872,c,010919,112354,1
873,c,010919,112357,1
874,c,010919,112400,1
875,c,010919,112403,0
876,c,010919,112406,0
877,c,010919,112408,0
878,c,010919,112411,0
879,c,010919,112414,0
880,c,010919,112418,2
881,c,010919,112420,1
882,c,010919,112423,1
883,c,010919,112426,2
884,c,010919,112428,2
885,c,010919,112431,2
886,c,010919,112433,1
887,c,010919,112436,1
888,c,010919,112439,0
889,c,010919,112441,0
890,c,010919,112444,1
891,c,010919,112447,2
892,c,010919,112450,2
893,c,010919,112452,2
894,c,010919,112456,2
895,c,010919,112459,2
896,c,010919,112502,1
897,c,010919,112504,1
898,c,010919,112507,1
899,c,010919,112509,2
900,c,010919,112512,2
901,c,010919,112514,1
902,c,010919,112517,1
903,c,010919,112520,0
904,c,010919,112522,2
905,c,010919,112525,1
906,c,010919,112527,1
907,c,010919,112530,2
908,c,010919,112533,1
909,c,010919,112536,1
910,c,010919,112538,1
911,c,010919,112541,2
912,c,010919,112544,1
913,c,010919,112547,2
914,c,010919,112550,1
915,c,010919,112553,1
916,c,010919,112556,1
917,c,010919,112600,2
918,c,010919,112602,2
919,c,010919,112605,2
920,c,010919,112608,1
921,c,010919,112610,1
922,c,010919,112613,1
923,c,010919,112616,1
924,c,010919,112619,1
925,c,010919,112622,1
926,c,010919,112626,0
927,c,010919,112629,1
928,c,010919,112632,1
929,c,010919,112635,3
930,c,010919,112638,2
931,c,010919,112642,4
932,c,010919,112645,3
933,c,010919,112648,3
934,c,010919,112651,4
935,c,010919,112653,4
936,c,010919,112656,3
937,c,010919,112658,3
938,c,010919,112701,3
939,c,010919,112704,3
940,c,010919,112706,4
941,c,010919,112709,5
942,c,010919,112711,4
943,c,010919,112714,4
944,c,010919,112717,4
945,c,010919,112719,6
946,c,010919,112722,6
947,c,010919,112725,7
948,c,010919,112727,5
949,c,010919,112730,7
950,c,010919,112733,7
951,c,010919,112736,6
952,c,010919,112739,6
953,c,010919,112742,5
954,c,010919,112746,2
955,c,010919,112749,2
956,c,010919,112752,1
957,c,010919,112755,2
958,c,010919,112757,1
959,c,010919,112801,2
960,c,010919,112804,3
961,c,010919,112807,2
962,c,010919,112810,1
963,c,010919,112814,1
964,c,010919,112817,1
965,c,010919,112820,1
966,c,010919,112823,3
967,c,010919,112826,5
968,c,010919,112829,5
969,c,010919,112832,3
970,c,010919,112835,4
971,c,010919,112838,4
972,c,010919,112841,6
973,c,010919,112843,5
974,c,010919,112846,8
975,c,010919,112849,5
976,c,010919,112851,4
977,c,010919,112854,5
978,c,010919,112856,4
979,c,010919,112859,4
980,c,010919,112902,6
981,c,010919,112904,3
982,c,010919,112907,4
983,c,010919,112910,2
984,c,010919,112912,4
985,c,010919,112915,3
986,c,010919,112918,3
987,c,010919,112921,1
988,c,010919,112925,1
989,c,010919,112928,1
990,c,010919,112931,1
991,c,010919,112934,3
992,c,010919,112937,2
993,c,010919,112939,4
994,c,010919,112942,4
995,c,010919,112945,5
996,c,010919,112948,5
997,c,010919,112951,5
998,c,010919,112954,9
999,c,010919,112957,6
1000,c,010919,113000,7
